category,player,dealer_up,action,mean_ev,count
hard,18,K,hit,-1.000000,1
hard,18,K,stand,-1.000000,1
hard,12,3,stand,-0.500000,4
hard,12,3,double,-2.000000,1
hard,12,3,hit,-1.000000,1
soft,18,5,stand,-1.000000,1
hard,17,4,hit,-1.000000,1
hard,17,4,double,0.000000,2
hard,17,4,stand,0.000000,1
hard,11,8,stand,-1.000000,1
hard,11,8,double,2.000000,1
hard,15,Q,hit,1.000000,2
hard,15,Q,stand,1.000000,2
hard,15,Q,double,-2.000000,1
hard,16,K,hit,0.333333,3
hard,16,K,stand,-1.000000,1
soft,15,9,stand,-1.000000,1
soft,17,K,stand,0.000000,2
pair,A,3,hit,1.000000,1
hard,13,J,double,-2.000000,3
hard,13,J,stand,-1.000000,1
pair,9,9,split,-2.000000,1
soft,15,3,hit,1.000000,2
pair,9,3,hit,-1.000000,1
pair,9,3,stand,1.000000,1
hard,17,6,hit,-1.000000,2
hard,17,6,stand,-1.000000,2
hard,17,6,double,-2.000000,1
hard,11,10,hit,0.000000,2
hard,7,10,stand,-1.000000,1
hard,7,10,hit,0.000000,2
hard,7,10,double,-2.000000,1
hard,8,J,hit,-1.000000,1
hard,8,J,stand,-1.000000,1
hard,20,8,hit,-1.000000,1
hard,20,8,stand,1.000000,2
hard,20,8,double,-2.000000,1
hard,5,9,double,-2.000000,1
hard,5,9,hit,-1.000000,1
hard,18,2,stand,0.000000,2
soft,17,4,hit,0.000000,1
soft,19,10,hit,1.000000,1
hard,10,A,double,2.000000,1
soft,16,3,stand,0.000000,2
soft,16,3,hit,-1.000000,1
hard,17,10,hit,-1.000000,3
soft,17,3,hit,-1.000000,1
soft,17,3,stand,1.000000,1
pair,7,4,double,2.000000,1
soft,18,K,hit,-1.000000,1
hard,17,7,stand,-1.000000,1
hard,17,7,double,2.000000,1
hard,16,A,stand,-1.000000,3
hard,16,A,hit,-1.000000,1
hard,18,10,hit,-1.000000,1
hard,18,10,stand,-0.333333,3
soft,13,9,double,-2.000000,1
pair,7,3,split,4.000000,1
hard,6,5,stand,0.000000,2
soft,19,9,stand,1.000000,1
soft,19,9,double,-2.000000,1
pair,8,Q,stand,-1.000000,2
hard,17,A,hit,-1.000000,2
hard,17,A,double,0.000000,2
soft,20,8,hit,-0.666667,3
soft,20,8,double,2.000000,1
soft,19,4,double,2.000000,1
pair,Q,3,hit,-1.000000,2
hard,20,A,stand,0.000000,1
hard,10,6,hit,-1.000000,2
hard,10,6,stand,1.000000,1
pair,9,Q,stand,1.000000,1
soft,18,10,double,2.000000,1
hard,9,A,hit,-1.000000,1
hard,9,A,double,-2.000000,1
hard,18,3,double,-2.000000,1
hard,18,3,stand,-1.000000,1
hard,18,3,hit,-1.000000,1
hard,17,J,stand,-1.000000,1
pair,A,4,hit,-1.000000,1
hard,18,Q,stand,-0.666667,3
hard,18,Q,hit,-1.000000,3
hard,18,Q,double,-2.000000,1
soft,20,10,double,2.000000,1
hard,5,2,hit,-1.000000,1
pair,9,10,stand,0.000000,1
hard,20,3,stand,1.000000,1
hard,20,3,double,-2.000000,2
pair,5,A,hit,-1.000000,1
soft,19,J,double,2.000000,1
soft,19,J,stand,1.000000,1
soft,20,K,stand,1.000000,1
soft,20,K,hit,-1.000000,1
pair,4,7,hit,1.000000,1
pair,4,7,stand,-1.000000,1
pair,J,10,stand,1.000000,2
hard,14,7,double,-1.000000,4
hard,14,7,stand,1.000000,1
soft,14,7,stand,1.000000,1
hard,9,J,double,-2.000000,1
soft,20,7,stand,1.000000,1
soft,18,4,stand,1.000000,1
hard,20,K,double,-2.000000,1
soft,14,2,hit,-1.000000,1
pair,K,3,split,3.000000,1
soft,14,8,double,2.000000,1
soft,19,6,double,-2.000000,1
hard,11,K,double,0.000000,1
soft,19,K,stand,0.000000,1
hard,10,8,double,-2.000000,2
pair,Q,9,stand,1.000000,1
pair,3,4,split,-1.000000,1
hard,5,K,hit,0.000000,1
pair,J,8,stand,1.000000,1
pair,J,8,split,0.000000,1
hard,11,5,stand,-1.000000,1
soft,16,9,double,2.000000,1
pair,6,3,double,-2.000000,1
soft,19,3,double,2.000000,1
hard,10,4,hit,1.000000,1
pair,A,9,stand,-1.000000,1
pair,A,6,stand,1.000000,1
pair,J,3,stand,1.000000,1
hard,19,8,hit,-1.000000,1
hard,9,6,stand,0.333333,3
soft,20,5,stand,-1.000000,1
hard,6,7,stand,-1.000000,1
hard,6,7,double,-2.000000,1
soft,16,Q,hit,-1.000000,1
soft,13,J,double,-2.000000,1
soft,13,J,hit,-1.000000,1
soft,16,K,hit,1.000000,1
pair,A,K,stand,1.000000,1
pair,A,K,hit,-1.000000,1
soft,17,5,double,2.000000,1
hard,6,2,double,-2.000000,1
soft,18,Q,hit,-1.000000,1
pair,5,9,split,2.000000,1
pair,2,8,hit,1.000000,1
pair,J,J,double,-2.000000,1
soft,14,Q,double,2.000000,1
hard,6,8,double,2.000000,1
pair,5,2,split,-3.000000,1
pair,9,2,split,-4.000000,1
soft,18,8,double,2.000000,1
soft,17,8,double,-2.000000,1
hard,6,9,double,-2.000000,1
soft,18,2,double,-2.000000,1
pair,A,Q,split,0.000000,1
